---------------
WORDS: sport three terms 

and RESULT ITEMS:
SCORE: 7.479237 | ITEM NUMBER 320 | ITEM ID: 230592
SCORE: 7.479237 | ITEM NUMBER 321 | ITEM ID: 1621973
SCORE: 7.479237 | ITEM NUMBER 322 | ITEM ID: 1457015
SCORE: 7.479237 | ITEM NUMBER 323 | ITEM ID: 1447959
SCORE: 7.479237 | ITEM NUMBER 324 | ITEM ID: 1502543
SCORE: 7.479237 | ITEM NUMBER 325 | ITEM ID: 1849237
SCORE: 7.479237 | ITEM NUMBER 326 | ITEM ID: 1715363
SCORE: 7.479237 | ITEM NUMBER 327 | ITEM ID: 1720667
SCORE: 7.479237 | ITEM NUMBER 328 | ITEM ID: 1897598
SCORE: 7.479237 | ITEM NUMBER 329 | ITEM ID: 112834
SCORE: 7.479237 | ITEM NUMBER 330 | ITEM ID: 49368
SCORE: 7.479237 | ITEM NUMBER 331 | ITEM ID: 4877
SCORE: 7.479237 | ITEM NUMBER 332 | ITEM ID: 87393
SCORE: 7.479237 | ITEM NUMBER 333 | ITEM ID: 2103012
SCORE: 7.479237 | ITEM NUMBER 334 | ITEM ID: 2052278
SCORE: 7.479237 | ITEM NUMBER 335 | ITEM ID: 3991693
SCORE: 7.479237 | ITEM NUMBER 336 | ITEM ID: 2781494
SCORE: 7.479237 | ITEM NUMBER 337 | ITEM ID: 2410400
SCORE: 7.479237 | ITEM NUMBER 338 | ITEM ID: 2410885
SCORE: 7.479237 | ITEM NUMBER 339 | ITEM ID: 2041581
SCORE: 7.479237 | ITEM NUMBER 340 | ITEM ID: 2041681
SCORE: 7.479237 | ITEM NUMBER 341 | ITEM ID: 2276333
SCORE: 7.479237 | ITEM NUMBER 342 | ITEM ID: 5013340
SCORE: 7.479237 | ITEM NUMBER 343 | ITEM ID: 4976327
SCORE: 7.479237 | ITEM NUMBER 344 | ITEM ID: 5441635
SCORE: 7.468483 | ITEM NUMBER 345 | ITEM ID: 559056
SCORE: 7.468483 | ITEM NUMBER 346 | ITEM ID: 630273
SCORE: 7.468483 | ITEM NUMBER 347 | ITEM ID: 986908
SCORE: 7.468483 | ITEM NUMBER 348 | ITEM ID: 1123989
SCORE: 7.468483 | ITEM NUMBER 349 | ITEM ID: 1202741
SCORE: 7.468483 | ITEM NUMBER 350 | ITEM ID: 1126237
SCORE: 7.468483 | ITEM NUMBER 351 | ITEM ID: 1265096
SCORE: 7.468483 | ITEM NUMBER 352 | ITEM ID: 1130371
SCORE: 7.468483 | ITEM NUMBER 353 | ITEM ID: 1144123
